time,vehicle,category,severity,message
15:07:30,System,COMMAND,SUCCESS,"SERVO B ปิดแล้ว · คืนช่องให้รีโมท (ห้องว่าง)"
15:07:31,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.8 bat=99% sat=14"
15:07:32,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.8 bat=99% sat=14"
15:07:34,Drone 1,STATUS,INFO,"PING 59 ms · ICMP"
15:07:34,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.9 bat=99% sat=15"
15:07:35,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.9 bat=99% sat=14"
15:07:37,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-1.0 bat=99% sat=15"
15:07:38,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.9 bat=99% sat=15"
15:07:39,Drone 1,STATUS,INFO,"PING 5 ms · ICMP"
15:07:40,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.7 bat=99% sat=15"
15:07:41,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.7 bat=99% sat=15"
15:07:43,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.7 bat=99% sat=15"
15:07:44,Drone 1,STATUS,INFO,"PING 79 ms · ICMP"
15:07:44,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.7 bat=99% sat=14"
15:07:46,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.7 bat=99% sat=15"
15:07:47,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.7 bat=99% sat=15"
15:07:49,Drone 1,STATUS,INFO,"PING 11 ms · ICMP"
15:07:49,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.7 bat=99% sat=15"
15:07:50,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.7 bat=99% sat=14"
15:07:52,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.8 bat=99% sat=15"
15:07:53,Drone 1,TELEMETRY,INFO,"READY GUIDED alt=-0.8 bat=99% sat=15"
15:07:54,Drone 1,STATUS,INFO,"PING 69 ms · ICMP"
